address,station_id,latitude,longitude,name,cluster
Blessington Street,2,53.35677,-6.26814,BLESSINGTON STREET,5
Bolton Street,3,53.351181,-6.269859,BOLTON STREET,1
Greek Street,4,53.346874,-6.272976,GREEK STREET,1
Charlemont Street,5,53.330662,-6.260177,CHARLEMONT PLACE,4
Christchurch Place,6,53.343369,-6.27012,CHRISTCHURCH PLACE,7
High Street,7,53.343567,-6.275071,HIGH STREET,7
Custom House Quay,8,53.347885,-6.248048,CUSTOM HOUSE QUAY,0
Exchequer Street,9,53.343033,-6.263578,EXCHEQUER STREET,7
Dame Street,10,53.344006,-6.266802,DAME STREET,7
Earlsfort Terrace,11,53.334019,-6.258371,EARLSFORT TERRACE,4
Eccles Street,12,53.359245,-6.269779,ECCLES STREET,5
Fitzwilliam Square West,13,53.336075,-6.252825,FITZWILLIAM SQUARE WEST,2
Hardwicke Street,15,53.355473,-6.264423,HARDWICKE STREET,6
Georges Quay,16,53.347507,-6.252192,GEORGES QUAY,0
Golden Lane,17,53.340801,-6.267732,GOLDEN LANE,7
Grantham Street,18,53.334122,-6.265436,GRANTHAM STREET,4
Herbert Place,19,53.334431,-6.245575,HERBERT PLACE,2
Leinster Street South,21,53.342178,-6.254485,LEINSTER STREET SOUTH,2
Townsend Street,22,53.345921,-6.254614,TOWNSEND STREET,0
Custom House,23,53.348278,-6.254662,CUSTOM HOUSE,0
Cathal Brugha Street,24,53.35215,-6.260533,CATHAL BRUGHA STREET,6
Merrion Square East,25,53.339436,-6.246548,MERRION SQUARE EAST,2
Merrion Square West,26,53.339764,-6.251988,MERRION SQUARE WEST,2
Molesworth Street,27,53.34129,-6.258117,MOLESWORTH STREET,2
Mountjoy Square West,28,53.3563,-6.258586,MOUNTJOY SQUARE WEST,6
Ormond Quay Upper,29,53.346058,-6.268001,ORMOND QUAY UPPER,7
Parnell Square North,30,53.353462,-6.265305,PARNELL SQUARE NORTH,6
Parnell Street,31,53.350929,-6.265125,PARNELL STREET,1
Pearse Street,32,53.344303,-6.250427,PEARSE STREET,0
Princes Street / O'Connell Street,33,53.349014,-6.260311,PRINCES STREET / O'CONNELL STREET,0
Portobello Harbour,34,53.33036,-6.265163,PORTOBELLO HARBOUR,4
St. Stephen's Green East,36,53.337826,-6.256035,ST. STEPHEN'S GREEN EAST,2
St. Stephen's Green South,37,53.337494,-6.26199,ST. STEPHEN'S GREEN SOUTH,4
Talbot Street,38,53.350975,-6.25294,TALBOT STREET,0
Wilton Terrace,39,53.332382,-6.252717,WILTON TERRACE,4
Jervis Street,40,53.348301,-6.266651,JERVIS STREET,1
Harcourt Terrace,41,53.332764,-6.257942,HARCOURT TERRACE,4
Smithfield North,42,53.349564,-6.278198,SMITHFIELD NORTH,1
Portobello Road,43,53.33009,-6.268044,PORTOBELLO ROAD,4
Upper Sherrard Street,44,53.358437,-6.260641,UPPER SHERRARD STREET,6
Deverell Place,45,53.351463,-6.255265,DEVERELL PLACE,0
Herbert Street,47,53.335743,-6.24551,HERBERT STREET,2
Excise Walk,48,53.347778,-6.244239,EXCISE WALK,0
Guild Street,49,53.347931,-6.240928,GUILD STREET,0
George's Lane,50,53.350231,-6.279696,GEORGES LANE,1
York Street West,51,53.339333,-6.264699,YORK STREET WEST,4
York Street East,52,53.338757,-6.262003,YORK STREET EAST,4
Newman House,53,53.337132,-6.26059,NEWMAN HOUSE,4
Clonmel Street,54,53.336021,-6.26298,CLONMEL STREET,4
Hatch Street,55,53.33403,-6.260714,HATCH STREET,4
Mount Street Lower,56,53.337959,-6.24153,MOUNT STREET LOWER,2
Grattan Street,57,53.33963,-6.243778,GRATTAN STREET,2
Sir Patrick's Dun,58,53.339218,-6.240642,SIR PATRICK DUN'S,2
Denmark Street Great,59,53.35561,-6.261397,DENMARK STREET GREAT,6
Hardwicke Place,61,53.357044,-6.263232,HARDWICKE PLACE,6
Lime Street,62,53.346027,-6.243576,LIME STREET,0
Fenian Street,63,53.341427,-6.24672,FENIAN STREET,2
Sandwith Street,64,53.345203,-6.247163,SANDWITH STREET,0
Convention Centre,65,53.347439,-6.238523,CONVENTION CENTRE,8
New Central Bank,66,53.347122,-6.234749,NEW CENTRAL BANK,8
The Point,67,53.346867,-6.230852,THE POINT,8
Hanover Quay,68,53.344116,-6.237153,HANOVER QUAY,8
Grand Canal Dock,69,53.342636,-6.238695,GRAND CANAL DOCK,8
Kevin Street,71,53.337757,-6.267699,KEVIN STREET,4
John Street West,72,53.343105,-6.277167,JOHN STREET WEST,7
Francis Street,73,53.342079,-6.275233,FRANCIS STREET,7
Oliver Bond Street,74,53.343891,-6.280531,OLIVER BOND STREET,7
James Street,75,53.343456,-6.287409,JAMES STREET,3
Market Street South,76,53.342297,-6.287661,MARKET STREET SOUTH,3
Wolfe Tone Street,77,53.348873,-6.267459,WOLFE TONE STREET,1
Mater Hospital,78,53.359966,-6.264828,MATER HOSPITAL,6
Eccles Street East,79,53.358116,-6.265601,ECCLES STREET EAST,6
St James Hospital (Luas),80,53.341358,-6.292951,ST JAMES HOSPITAL (LUAS),9
St. James Hospital (Central),81,53.339985,-6.295594,ST. JAMES HOSPITAL (CENTRAL),9
Mount Brown,82,53.341644,-6.29719,MOUNT BROWN,9
Emmet Road,83,53.340714,-6.308191,EMMET ROAD,9
Brookfield Road,84,53.339005,-6.300217,BROOKFIELD ROAD,9
Rothe Abbey,85,53.338776,-6.30395,ROTHE ABBEY,9
Parkgate Street,86,53.347973,-6.291804,PARKGATE STREET,3
Collins Barracks Museum,87,53.347477,-6.28525,COLLINS BARRACKS MUSEUM,3
Blackhall Place,88,53.348801,-6.281637,BLACKHALL PLACE,1
Fitzwilliam Square East,89,53.335213,-6.2509,FITZWILLIAM SQUARE EAST,2
Benson Street,90,53.344154,-6.233451,BENSON STREET,8
South Dock Road,91,53.341831,-6.231291,SOUTH DOCK ROAD,8
Heuston Bridge (North),92,53.347801,-6.292432,HEUSTON BRIDGE (NORTH),3
Heuston Station (Central),93,53.346603,-6.296924,HEUSTON STATION (CENTRAL),3
Heuston Station (Car Park),94,53.346985,-6.297804,HEUSTON STATION (CAR PARK),3
Royal Hospital,95,53.343899,-6.29706,ROYAL HOSPITAL,3
Kilmainham Lane,96,53.341805,-6.305085,KILMAINHAM LANE,9
Kilmainham Gaol,97,53.342113,-6.310015,KILMAINHAM GAOL,9
Frederick Street South,98,53.341515,-6.256853,FREDERICK STREET SOUTH,2
City Quay,99,53.346638,-6.246154,CITY QUAY,0
Heuston Bridge (South),100,53.347107,-6.292041,HEUSTON BRIDGE (SOUTH),3
King Street North,101,53.350292,-6.273507,KING STREET NORTH,1
Western Way,102,53.354931,-6.269425,WESTERN WAY,5
Grangegorman Lower (South),103,53.354664,-6.278681,GRANGEGORMAN LOWER (SOUTH),5
Grangegorman Lower (Central),104,53.355171,-6.278424,GRANGEGORMAN LOWER (CENTRAL),5
Grangegorman Lower (North),105,53.355953,-6.278378,GRANGEGORMAN LOWER (NORTH),5
Rathdown Road,106,53.358929,-6.280337,RATHDOWN ROAD,5
Charleville Road,107,53.359158,-6.281866,CHARLEVILLE ROAD,5
Avondale Road,108,53.359406,-6.276142,AVONDALE ROAD,5
Buckingham Street Lower,109,53.353333,-6.249319,BUCKINGHAM STREET LOWER,6
Phibsborough Road,110,53.356308,-6.273717,PHIBSBOROUGH ROAD,5
Mountjoy Square East,111,53.356716,-6.256359,MOUNTJOY SQUARE EAST,6
North Circular Road (O'Connell's),112,53.357841,-6.251557,NORTH CIRCULAR ROAD (O'CONNELL'S),6
Merrion Square South,113,53.338615,-6.248606,MERRION SQUARE SOUTH,2
Wilton Terrace (Park),114,53.333652,-6.248345,WILTON TERRACE (PARK),2
Killarney Street,115,53.354843,-6.247579,KILLARNEY STREET,6
Broadstone,116,53.354698,-6.272314,BROADSTONE,5
Hanover Quay East,117,53.343655,-6.231755,HANOVER QUAY EAST,8
